"gene","chromosome","entrez_id","gene_name","mouse_homologenes"
"LOC105376664","11",105376664,"uncharacterized LOC105376664",""
"LOC105376665","11",105376665,"uncharacterized LOC105376665",""
"LOC105376666","11",105376666,"putative uncharacterized protein FLJ44672",""
"LOC105376667","11",105376667,"uncharacterized LOC105376667",""
"LOC105376668","11",105376668,"105376668",""
"LOC105376669","11",105376669,"105376669",""
"LOC105376670","11",105376670,"105376670",""
"LOC105376671","11",105376671,"uncharacterized LOC105376671",""
"LOC105376672","1",105376672,"uncharacterized LOC105376672",""
"LOC105376673","1",105376673,"uncharacterized LOC105376673",""
"LOC105376674","1",105376674,"uncharacterized LOC105376674",""
"LOC105376675","12",105376675,"uncharacterized LOC105376675",""
"LOC105376676","12",105376676,"uncharacterized LOC105376676",""
"LOC105376677","12",105376677,"uncharacterized LOC105376677",""
"LOC105376678","12",105376678,"ovostatin-like",""
"LOC105376679","1",105376679,"uncharacterized LOC105376679",""
"LOC105376680","1",105376680,"uncharacterized LOC105376680",""
"LOC105376681","1",105376681,"uncharacterized LOC105376681",""
"LOC105376682","1",105376682,"uncharacterized LOC105376682",""
"LOC105376683","13",105376683,"uncharacterized LOC105376683",""
"LOC105376684","13",105376684,"collagen alpha-2(I) chain-like",""
"LOC105376685","13",105376685,"basic proline-rich protein-like",""
"LOC105376686","1",105376686,"uncharacterized LOC105376686",""
"LOC105376687","1",105376687,"uncharacterized LOC105376687",""
"LOC105376688","1",105376688,"uncharacterized LOC105376688",""
"LOC105376689","1",105376689,"uncharacterized LOC105376689",""
"LOC105376690","1",105376690,"uncharacterized LOC105376690",""
"LOC105376691","1",105376691,"uncharacterized LOC105376691",""
"LOC105376692","1",105376692,"uncharacterized LOC105376692",""
"LOC105376693","1",105376693,"uncharacterized LOC105376693",""
"LOC105376694","1",105376694,"uncharacterized LOC105376694",""
"LOC105376695","1",105376695,"uncharacterized LOC105376695",""
"LOC105376696","1",105376696,"uncharacterized LOC105376696",""
"LOC105376697","1",105376697,"uncharacterized LOC105376697",""
"LOC105376698","15",105376698,"uncharacterized LOC105376698",""
"LOC105376699","15",105376699,"uncharacterized LOC105376699",""
"LOC105376700","15",105376700,"uncharacterized LOC105376700",""
"LOC105376701","15",105376701,"uncharacterized LOC105376701",""
"LOC105376702","15",105376702,"uncharacterized LOC105376702",""
"LOC105376703","15",105376703,"uncharacterized LOC105376703",""
"LOC105376704","15",105376704,"uncharacterized LOC105376704",""
"LOC105376705","15",105376705,"uncharacterized LOC105376705",""
"LOC105376706","1",105376706,"uncharacterized LOC105376706",""
"LOC105376707","15",105376707,"uncharacterized LOC105376707",""
"LOC105376708","15",105376708,"uncharacterized LOC105376708",""
"LOC105376709","15",105376709,"uncharacterized LOC105376709",""
"LOC105376710","15",105376710,"uncharacterized LOC105376710",""
"LOC105376711","15",105376711,"uncharacterized LOC105376711",""
"LOC105376712","1",105376712,"uncharacterized LOC105376712",""
"LOC105376713","15",105376713,"uncharacterized LOC105376713",""
"LOC105376714","15",105376714,"uncharacterized LOC105376714",""
"LOC105376715","15",105376715,"uncharacterized LOC105376715",""
"LOC105376716","15",105376716,"uncharacterized LOC105376716",""
"LOC105376717","1",105376717,"uncharacterized LOC105376717",""
"LOC105376718","15",105376718,"uncharacterized LOC105376718",""
"LOC105376719","1",105376719,"basic proline-rich protein-like",""
"LOC105376720","15",105376720,"uncharacterized LOC105376720",""
"LOC105376721","15",105376721,"uncharacterized LOC105376721",""
"LOC105376722","15",105376722,"uncharacterized LOC105376722",""
"LOC105376723","15",105376723,"uncharacterized LOC105376723",""
"LOC105376724","15",105376724,"uncharacterized LOC105376724",""
"LOC105376725","1",105376725,"uncharacterized LOC105376725",""
"LOC105376726","15",105376726,"uncharacterized LOC105376726",""
"LOC105376727","15",105376727,"uncharacterized LOC105376727",""
"LOC105376728","15",105376728,"uncharacterized LOC105376728",""
"LOC105376730","15",105376730,"uncharacterized LOC105376730",""
"LOC105376731","15",105376731,"taste receptor cell protein 1-like",""
"LOC105376732","15",105376732,"uncharacterized LOC105376732",""
"LOC105376733","1",105376733,"uncharacterized LOC105376733",""
"LOC105376734","15",105376734,"uncharacterized LOC105376734",""
"LOC105376736","1",105376736,"uncharacterized LOC105376736",""
"LOC105376737","1",105376737,"uncharacterized LOC105376737",""
"LOC105376739","1",105376739,"uncharacterized LOC105376739",""
"LOC105376740","1",105376740,"uncharacterized LOC105376740",""
"LOC105376741","1",105376741,"uncharacterized LOC105376741",""
"LOC105376742","1",105376742,"uncharacterized LOC105376742",""
"LOC105376743","1",105376743,"uncharacterized LOC105376743",""
"LOC105376744","1",105376744,"uncharacterized LOC105376744",""
"LOC105376745","1",105376745,"uncharacterized LOC105376745",""
"LOC105376746","16",105376746,"formin-like protein 5",""
"LOC105376747","16",105376747,"collagen alpha-3(IX) chain-like",""
"LOC105376749","16",105376749,"uncharacterized LOC105376749",""
"LOC105376750","16",105376750,"uncharacterized LOC105376750",""
"LOC105376751","16",105376751,"uncharacterized LOC105376751",""
"LOC105376752","16",105376752,"NPIP-like protein 1",""
"LOC105376753","16",105376753,"uncharacterized LOC105376753",""
"LOC105376756","1",105376756,"uncharacterized LOC105376756",""
"LOC105376757","1",105376757,"uncharacterized LOC105376757",""
"LOC105376758","1",105376758,"uncharacterized LOC105376758",""
"LOC105376759","1",105376759,"uncharacterized LOC105376759",""
"LOC105376762","1",105376762,"uncharacterized LOC105376762",""
"LOC105376764","1",105376764,"uncharacterized LOC105376764",""
"LOC105376765","1",105376765,"uncharacterized LOC105376765",""
"LOC105376767","1",105376767,"uncharacterized LOC105376767",""
"LOC105376770","16",105376770,"uncharacterized LOC105376770",""
"LOC105376771","16",105376771,"uncharacterized LOC105376771",""
"LOC105376772","16",105376772,"uncharacterized LOC105376772",""
"LOC105376773","16",105376773,"uncharacterized LOC105376773",""
"LOC105376774","16",105376774,"uncharacterized LOC105376774",""
"LOC105376775","16",105376775,"uncharacterized LOC105376775",""
"LOC105376776","16",105376776,"uncharacterized LOC105376776",""
"LOC105376777","16",105376777,"uncharacterized LOC105376777",""
"LOC105376778","16",105376778,"uncharacterized LOC105376778",""
"LOC105376779","16",105376779,"uncharacterized LOC105376779",""
"LOC105376780","16",105376780,"uncharacterized LOC105376780",""
"LOC105376781","16",105376781,"uncharacterized LOC105376781",""
"LOC105376782","16",105376782,"uncharacterized LOC105376782",""
"LOC105376783","16",105376783,"uncharacterized LOC105376783",""
"LOC105376784","16",105376784,"uncharacterized LOC105376784",""
"LOC105376785","16",105376785,"uncharacterized LOC105376785",""
"LOC105376786","16",105376786,"uncharacterized LOC105376786",""
"LOC105376788","16",105376788,"putative uncharacterized protein FLJ46235",""
"LOC105376789","17",105376789,"uncharacterized LOC105376789",""
"LOC105376790","17",105376790,"uncharacterized LOC105376790",""
"LOC105376791","17",105376791,"uncharacterized LOC105376791",""
"LOC105376795","17",105376795,"uncharacterized LOC105376795",""
"LOC105376796","1",105376796,"uncharacterized LOC105376796",""
"LOC105376797","17",105376797,"uncharacterized LOC105376797",""
"LOC105376798","17",105376798,"uncharacterized LOC105376798",""
"LOC105376799","17",105376799,"uncharacterized LOC105376799",""
"LOC105376800","17",105376800,"uncharacterized LOC105376800",""
"LOC105376801","17",105376801,"uncharacterized LOC105376801",""
"LOC105376802","17",105376802,"uncharacterized LOC105376802",""
"LOC105376805","1",105376805,"uncharacterized LOC105376805",""
"LOC105376806","1",105376806,"uncharacterized LOC105376806",""
"LOC105376807","1",105376807,"uncharacterized LOC105376807",""
"LOC105376808","1",105376808,"uncharacterized LOC105376808",""
"LOC105376809","1",105376809,"uncharacterized LOC105376809",""
"LOC105376812","1",105376812,"uncharacterized LOC105376812",""
"LOC105376813","1",105376813,"uncharacterized LOC105376813",""
"LOC105376814","1",105376814,"uncharacterized LOC105376814",""
"LOC105376815","1",105376815,"uncharacterized LOC105376815",""
"LOC105376816","1",105376816,"uncharacterized LOC105376816",""
"LOC105376817","1",105376817,"uncharacterized LOC105376817",""
"LOC105376818","1",105376818,"uncharacterized LOC105376818",""
"LOC105376819","1",105376819,"uncharacterized LOC105376819",""
"LOC105376820","1",105376820,"uncharacterized LOC105376820",""
"LOC105376822","1",105376822,"uncharacterized LOC105376822",""
"LOC105376823","1",105376823,"uncharacterized LOC105376823",""
"LOC105376824","1",105376824,"uncharacterized LOC105376824",""
"LOC105376825","1",105376825,"uncharacterized LOC105376825",""
"LOC105376826","1",105376826,"uncharacterized LOC105376826",""
"LOC105376827","1",105376827,"uncharacterized LOC105376827",""
"LOC105376828","1",105376828,"uncharacterized LOC105376828",""
"LOC105376829","1",105376829,"uncharacterized LOC105376829",""
"LOC105376830","1",105376830,"uncharacterized LOC105376830",""
"LOC105376832","1",105376832,"uncharacterized LOC105376832",""
"LOC105376833","1",105376833,"uncharacterized LOC105376833",""
"LOC105376834","1",105376834,"uncharacterized LOC105376834",""
"LOC105376835","1",105376835,"uncharacterized LOC105376835",""
"LOC105376836","17",105376836,"uncharacterized LOC105376836",""
"LOC105376837","17",105376837,"uncharacterized LOC105376837",""
"LOC105376838","17",105376838,"uncharacterized LOC105376838",""
"LOC105376839","17",105376839,"uncharacterized LOC105376839",""
"LOC105376840","17",105376840,"uncharacterized LOC105376840",""
"LOC105376841","1",105376841,"uncharacterized LOC105376841",""
"LOC105376842","17",105376842,"uncharacterized LOC105376842",""
"LOC105376843","17",105376843,"uncharacterized LOC105376843",""
"LOC105376844","17",105376844,"uncharacterized LOC105376844",""
"LOC105376845","1",105376845,"uncharacterized LOC105376845",""
"LOC105376846","17",105376846,"uncharacterized LOC105376846",""
"LOC105376847","17",105376847,"uncharacterized LOC105376847",""
"LOC105376848","17",105376848,"105376848",""
"LOC105376849","17",105376849,"basic proline-rich protein-like",""
"LOC105376850","1",105376850,"uncharacterized LOC105376850",""
"LOC105376851","18",105376851,"uncharacterized LOC105376851",""
"LOC105376852","18",105376852,"uncharacterized LOC105376852",""
"LOC105376853","18",105376853,"uncharacterized LOC105376853",""
"LOC105376854","18",105376854,"eukaryotic translation initiation factor 3 subunit A-like",""
"LOC105376855","18",105376855,"uncharacterized LOC105376855",""
"LOC105376856","1",105376856,"uncharacterized LOC105376856",""
"LOC105376857","1",105376857,"uncharacterized LOC105376857",""
"LOC105376858","1",105376858,"uncharacterized LOC105376858",""
"LOC105376859","1",105376859,"uncharacterized LOC105376859",""
"LOC105376860","1",105376860,"uncharacterized LOC105376860",""
"LOC105376861","1",105376861,"uncharacterized LOC105376861",""
"LOC105376862","1",105376862,"uncharacterized LOC105376862",""
"LOC105376863","1",105376863,"uncharacterized LOC105376863",""
"LOC105376864","1",105376864,"uncharacterized LOC105376864",""
"LOC105376865","1",105376865,"uncharacterized LOC105376865",""
"LOC105376866","18",105376866,"uncharacterized LOC105376866",""
"LOC105376867","1",105376867,"uncharacterized LOC105376867",""
"LOC105376868","18",105376868,"uncharacterized LOC105376868",""
"LOC105376869","18",105376869,"uncharacterized LOC105376869",""
"LOC105376870","18",105376870,"uncharacterized LOC105376870",""
"LOC105376871","1",105376871,"uncharacterized LOC105376871",""
"LOC105376872","18",105376872,"uncharacterized LOC105376872",""
"LOC105376873","18",105376873,"uncharacterized LOC105376873",""
"LOC105376874","18",105376874,"uncharacterized LOC105376874",""
"LOC105376875","18",105376875,"uncharacterized LOC105376875",""
"LOC105376876","1",105376876,"uncharacterized LOC105376876",""
"LOC105376877","18",105376877,"105376877",""
"LOC105376878","1",105376878,"uncharacterized LOC105376878",""
"LOC105376879","1",105376879,"uncharacterized LOC105376879",""
"LOC105376880","1",105376880,"uncharacterized LOC105376880",""
"LOC105376881","1",105376881,"uncharacterized LOC105376881",""
"LOC105376882","1",105376882,"uncharacterized LOC105376882",""
"LOC105376883","1",105376883,"uncharacterized LOC105376883",""
"LOC105376884","1",105376884,"uncharacterized LOC105376884",""
"LOC105376885","1",105376885,"uncharacterized LOC105376885",""
"LOC105376886","1",105376886,"uncharacterized LOC105376886",""
"LOC105376887","1",105376887,"uncharacterized LOC105376887",""
"LOC105376888","1",105376888,"uncharacterized LOC105376888",""
"LOC105376889","1",105376889,"uncharacterized LOC105376889",""
"LOC105376890","1",105376890,"uncharacterized LOC105376890",""
"LOC105376892","1",105376892,"uncharacterized LOC105376892",""
"LOC105376893","1",105376893,"uncharacterized LOC105376893",""
"LOC105376894","1",105376894,"uncharacterized LOC105376894",""
"LOC105376895","1",105376895,"uncharacterized LOC105376895",""
"LOC105376896","1",105376896,"uncharacterized LOC105376896",""
"LOC105376897","1",105376897,"uncharacterized LOC105376897",""
"LOC105376898","1",105376898,"uncharacterized LOC105376898",""
"LOC105376899","19",105376899,"uncharacterized LOC105376899",""
"LOC105376900","19",105376900,"uncharacterized LOC105376900",""
"LOC105376901","19",105376901,"uncharacterized LOC105376901",""
"LOC105376902","19",105376902,"uncharacterized LOC105376902",""
"LOC105376903","19",105376903,"uncharacterized LOC105376903",""
"LOC105376904","19",105376904,"uncharacterized LOC105376904",""
"LOC105376905","19",105376905,"uncharacterized LOC105376905",""
"LOC105376906","19",105376906,"endogenous retrovirus group K member 19 Pol protein",""
"LOC105376907","19",105376907,"uncharacterized LOC105376907",""
"LOC105376908","19",105376908,"uncharacterized LOC105376908",""
"LOC105376909","19",105376909,"uncharacterized LOC105376909",""
"LOC105376910","1",105376910,"uncharacterized LOC105376910",""
"LOC105376911","1",105376911,"putative uncharacterized protein encoded by LINC00269",""
"LOC105376912","19",105376912,"uncharacterized LOC105376912",""
"LOC105376913","19",105376913,"uncharacterized LOC105376913",""
"LOC105376914","19",105376914,"uncharacterized LOC105376914",""
"LOC105376915","19",105376915,"uncharacterized LOC105376915",""
"LOC105376916","19",105376916,"uncharacterized LOC105376916",""
"LOC105376917","19",105376917,"uncharacterized LOC105376917",""
